Flow Size, Window Size, Latency (avg), Latency (max), Latency (min)
64,20,0.040,0.040,0.040
128,20,0.023,0.023,0.023
256,20,0.027,0.027,0.027
512,20,0.028,0.028,0.028
1024,20,0.030,0.030,0.030
2048,20,0.039,0.039,0.039
4096,20,0.029,0.029,0.029
8192,20,0.046,0.046,0.046
16384,20,0.036,0.039,0.034
1073741824,20,0.017,0.324,0.007
2147483648,20,0.017,0.355,0.007
4294967296,20,0.017,0.370,0.006
8589934592,20,0.017,0.381,0.007
17179869184,20,0.017,0.326,0.007
34359738368,20,0.017,0.418,0.006
104857600,20,0.017,0.053,0.007
